Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan
2021-10-31,36615208,57445281.16796512,19838862,33924694.18980052,8636739,13248531.389032517,928095,1851308.4233685099,792818,1685248.254923657,138089,190967.8253160012,6241405,6452620.507247397,39200,91910.5782765145
2021-11-07,36290776,52592572.47677173,19650898,30821503.967830848,8514981,12063383.882219337,914532,1618615.4857933493,777339,1503793.6115957003,138276,179867.56187198302,6257074,6328065.056804501,37676,77342.91065600539
2021-11-14,37632629,57347705.67159242,20360067,33827209.39334505,8902862,13247943.010361336,964793,1855503.5314268866,810060,1690761.441452569,143000,191738.9474676244,6411583,6442947.556095097,40264,91601.79144385026
2021-11-21,31153023,47582616.38005819,16295380,27558396.937486224,6882944,10889380.379750993,897206,1385992.3187408345,723661,1317483.9851475225,112654,166973.18905926344,6211419,6200850.104483282,29759,63539.46539007515
2021-11-28,37164725,55864907.12390221,20318132,33198587.859751176,8675697,12662895.74642896,959471,1832172.21022518,794104,1670019.8837196075,137856,185182.80292419996,6244402,6226428.6671776315,35063,89619.95367545445
2021-12-05,37492721,54684664.34371057,20829574,32602788.069694687,8531675,12245886.094292872,944596,1815687.76106934,789924,1653611.1083922691,138279,180699.45411605938,6219994,6099809.882627857,38679,86181.97351749134
2021-12-12,35876406,54731458.54991276,19429853,32643322.452021435,8384135,12220428.757756244,900279,1818110.1526220103,760828,1665890.6339229879,139103,181190.71925862913,6224279,6115960.89403836,37929,86554.94029308847
2021-12-19,27673866,50296575.45031251,14205954,29721357.5102965,6591959,11224993.972070642,685861,1612293.4103955405,554123,1487756.186088686,112756,169990.72701314706,5495825,6005805.597710581,27388,74378.04673741714
2021-12-26,23715676,48722438.05857842,12416802,28570801.695019588,5219293,11140137.385195108,614200,1545721.1546678646,520738,1446102.4326517023,89509,163069.14137333326,4833693,5784146.950008386,21441,72459.29966243709
2022-01-02,26010474,52192984.19025441,13827177,30560059.287256204,6295553,12320321.872319994,594318,1693438.9383073456,480918,1568175.5208858212,103124,169516.9580972204,4683996,5792490.553710195,25388,88981.05967763663
